TradeSubmittedOn,StatusChangedOn,MarketIdentifierCode,MarketName,SecurityExchangeSymbol,SecurityClientIdentifier,SecuritySedol,SecurityIsin,SecurityFigi,SecurityCusip,SecurityLei,SecurityBloombergTicker,SecurityName,SecurityCfi,OrderType,OrderPosition,OrderStatus,OrderedVolume,FulfilledVolume,LimitPrice,ExecutedPrice,OrderCurrency,TraderId,ClientAttributionId,AccountId,DealerInstructions,TradeRationale,TradeStrategy,PartyBrokerId,CounterPartyBrokerId
01/09/2018,01/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Booked,10,10,,12.5,GBP,1,,,,,,1,1
01/09/2018,01/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,2,,,,,,1,20
01/09/2018,01/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,1000,1000,,12.5,GBP,3,,,Buy ASAP,Taking Profits,Spoofing,1,23
01/09/2018,01/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Booked,10000,10000,,12.5,GBP,1,,,,,,1,12
01/09/2018,01/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Cancelled,100000,100000,,12.5,GBP,1,,,,,,1,1
02/09/2018,02/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10,10,,12.5,GBP,2,,,,,,1,3
02/09/2018,02/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Booked,100,100,,12.5,GBP,3,100,10,,,,1,5
02/09/2018,02/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Cancelled,1000,1000,,12.5,GBP,4,,,,,,1,6
03/09/2018,03/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10000,10000,,12.5,GBP,5,,,,,,1,2
03/09/2018,03/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Booked,100000,100000,,12.5,GBP,6,10,100,,,,1,1
03/09/2018,03/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Cancelled,10,10,,12.5,GBP,1,,,,,,1,3
03/09/2018,03/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,100,100,,12.5,GBP,2,,,,,,1,3
04/09/2018,04/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Limit,Buy,Booked,1000,1000,10,12.5,GBP,3,,,,,,1,4
04/09/2018,04/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Limit,Buy,Cancelled,10000,10000,10.1,12.5,GBP,4,2,,,,,1,6
04/09/2018,04/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Limit,Buy,Booked,100000,100000,1021.1,12.5,GBP,2,,,,,,1,4
04/09/2018,04/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Limit,Sell,Cancelled,10,10,201,12.5,GBP,1,,,,,,1,3
04/09/2018,04/09/2018,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,ESNTPB,Limit,Sell,Fulfilled,100,100,13.1211,12.5,GBP,3,4,,,,,1,1
