TradeSubmittedOn,StatusChangedOn,MarketIdentifierCode,MarketName,SecurityExchangeSymbol,SecurityClientIdentifier,SecuritySedol,SecurityIsin,SecurityFigi,SecurityCusip,SecurityLei,SecurityBloombergTicker,SecurityIssuerIdentifier,SecurityName,SecurityCfi,OrderType,OrderPosition,OrderStatus,OrderedVolume,FulfilledVolume,LimitPrice,ExecutedPrice,OrderCurrency,TraderId,ClientAttributionId,AccountId,DealerInstructions,TradeRationale,TradeStrategy,PartyBrokerId,CounterPartyBrokerId
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10000,10000,,12.5,GBP,1,,,Buy ASAP,Taking Profits,High Profits,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,10000,10000,,12.5,GBP,1,,10,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Sell,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Sell,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Sell,Fulfilled,10000,10000,,20,GBP,1,,100,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Sell,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Sell,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,GBP,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Sell,Fulfilled,10000,10000,,40,GBP,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Sell,Fulfilled,10000,10000,,40,GBP,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Sell,Fulfilled,10000,10000,,40,GBP,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XNAS,NASDAQ,TSLA,TSLA,TSLA123,TSLA12345678,TSLAFIGI,TSLACUSIP,TSLALEI,TSLA,Tesla Inc,Tesla Inc,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,EUR,1,,,,,,1,1
01/09/2017 10:01,01/09/2017 10:01,XNAS,NASDAQ,TSLA,TSLA,TSLA123,TSLA12345678,TSLAFIGI,TSLACUSIP,TSLALEI,TSLA,Tesla Inc,Tesla Inc,ESNTPB,Market,Buy,Fulfilled,10000,10000,,20,EUR,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XNAS,NASDAQ,TSLA,TSLA,TSLA123,TSLA12345678,TSLAFIGI,TSLACUSIP,TSLALEI,TSLA,Tesla Inc,Tesla Inc,ESNTPB,Market,Sell,Fulfilled,10000,10000,,40,EUR,1,,,,,,1,1
01/09/2017 10:10,01/09/2017 10:10,XNAS,NASDAQ,TSLA,TSLA,TSLA123,TSLA12345678,TSLAFIGI,TSLACUSIP,TSLALEI,TSLA,Tesla Inc,Tesla Inc,ESNTPB,Market,Sell,Fulfilled,10000,10000,,40,EUR,1,,,,,,1,1
